ID_x;VAT;Country_x
10000;GB025054289    ;TT
10001;04445323240    ;CC
10002;EW372073490    ;TT
10003;AET48794415    ;RR
10004;19072238691043 ;QQ
10005;HQ11699538     ;AA
10006;GA383339936    ;BB
10007;CM475057757    ;BB
10008;DE031273762    ;TT
10009;WA607196889    ;TT
10010;259187596682858;XX
10011;80954214808    ;QQ
10012;ZG659741703    ;TT
10013;279928752224940;XX
10014;20124363335    ;CC
10015;45137731       ;PP
10016;VY775602381    ;BB
10017;CK801096818    ;TT
10018;81864233520    ;NN
10019;93156240492    ;CC
10020;UO517043423    ;TT
10021;29!7043154     ;JJ
10022;KSU13262735    ;RR
10023;PN89247458     ;UU
10024;106758         ;DD
10025;OA534988667    ;TT
10026;RW70456177035  ;WW
10027;RJ966405500    ;TT
10028;11826210710    ;YY
10029;UT756287736    ;TT
10030;60 556 393 287 ;NN
10031;IY28269274766  ;VV
10032;RZ639696477    ;LL
10033;EM432292019    ;BB
10034;AG68268720B    ;HH
10035;YI59058508     ;YY
10036;IC404210165    ;TT
10037;39448353E649391;XX
10038;KI30617146     ;YY
10039;J350380389     ;JJ
10040;MV360841577    ;TT
10041;SR419500652    ;BB
10042;8414845200     ;DD
10043;1024040848419  ;QQ
10044;ZQ140158292    ;BB
10045;PM341196577    ;TT
10046;BT36721825971  ;WW
10047;75777618998582 ;QQ
10048;1374941388     ;DD
10049;STS586890639   ;II
10050;EDK95933844    ;RR
10051;KY673534287    ;TT
10052;UO229294862    ;BB
10053;ER507523478    ;BB
10054;OE732275218    ;TT
10055;QZ26495331637  ;VV
10056;ZZ81564135592  ;VV
10057;5410968118     ;DD
10058;MG185534176    ;TT
10059;YB929237542    ;TT
10060;SF659895488    ;TT
10061;UTU7779616I    ;RR
10062;FD36244630685  ;VV
10063;RU579722756    ;BB
10064;10514603377542 ;QQ
10065;XQ112645476    ;BB
10066;QCX597541831   ;II
10067;43004640565789 ;QQ
10068;OV017592629    ;TT
10069;HL489351029    ;TT
10070;AF92744279875  ;VV
10071;79791443343248 ;QQ
10072;XT57394055O    ;HH
10073;60104457HH4MT7I;XX
10074;DM40386826S    ;RR
10075;MZ69755557269  ;WW
10076;COD02185471    ;RR
10077;QT89195785445  ;VV
10078;DE095278138    ;BB
10079;NEC            ;JJ
10080;GZ732538687    ;TT
10081;MB419982152    ;TT
10082;LE29380582     ;AA
10083;15450916924    ;CC
10084;48441118127    ;NN
10085;IWK524455671   ;II
10086;JK30581040     ;YY
10087;23726056.8     ;MM
10088;E891302638     ;JJ
10089;CE074352334    ;TT
10090;NB62106156W    ;RR
10091;332665766961111;XX
10092;10335663286388 ;QQ
10093;110614280010734;XX
10094;529285203680094;XX
10095;CIR332301483   ;II
10096;9922560456     ;DD
10097;28750782,0     ;MM
10098;L514620538     ;JJ
10099;UJ15164465     ;FF
10100;SO686125177    ;TT
10101;BE79928172353  ;VV
10102;NZ293785419    ;BB
10103;44930509674820 ;QQ
10104;4981074480     ;DD
10105;7504310471     ;DD
10106;30016757088    ;CC
10107;MP216763232    ;BB
10108;CGV24000764    ;RR
10109;LM847120986    ;TT
10110;GJ821229864    ;TT
10111;01986952797    ;CC
10112;LFI84908903    ;RR
10113;DN678379115    ;BB
10114;GC247136970    ;BB
10115;54 783 738 542 ;NN
10116;CTS57993129    ;RR
10117;VWX227291263   ;II
10118;6334197384     ;TT
10119;LS321018014    ;TT
10120;O5Q            ;JJ
10121;YO937282845    ;TT
10122;YF082898366    ;TT
10123;IB438491801    ;BB
10124;99412023398    ;CC
10125;55253637785    ;CC
10126;QA026073379    ;TT
10127;IN927935649    ;BB
10128;3194236305     ;DD
10129;MEN13195472    ;RR
10130;P189170912     ;JJ
10131;I426444999     ;JJ
10132;RH447254437    ;TT
10133;NX89554349576  ;WW
10134;280326377540856;XX
10135;MB46834732820  ;VV
10136;314727508306122;XX
10137;VB738770982    ;BB
10138;933864334864639;XX
10139;74325548790    ;TT
10140;LX84662580976  ;VV
10141;VV80082000881  ;VV
10142;1550738312     ;PP
10143;9127815557     ;DD
