ID_x;Country_x;VAT
10000;TT;GB025054289
10001;CC;4445323240
10002;TT;EW372073490
10003;RR;AET48794415
10004;QQ;19072238691043
10005;AA;HQ11699538
10006;BB;GA383339936
10007;BB;CM475057757
10008;TT;DE031273762
10009;TT;WA607196889
10010;XX;259187596682858
10011;QQ;80954214808
10012;TT;ZG659741703
10013;XX;279928752224940
10014;CC;20124363335
10015;PP;45137731
10016;BB;VY775602381
10017;TT;CK801096818
10018;NN;81864233520
10019;CC;93156240492
10020;TT;UO517043423
10021;JJ;29!7043154
10022;RR;KSU13262735
10023;UU;PN89247458
10024;DD;106758
10025;TT;OA534988667
10026;WW;RW70456177035
10027;TT;RJ966405500
10028;YY;11826210710
10029;TT;UT756287736
10030;NN;60556393287
10031;VV;IY28269274766
10032;LL;RZ639696477
10033;BB;EM432292019
10034;HH;AG68268720B
10035;YY;YI59058508
10036;TT;IC404210165
10037;XX;39448353E649391
10038;YY;KI30617146
10039;JJ;J350380389
10040;TT;MV360841577
10041;BB;SR419500652
10042;DD;8414845200
10043;QQ;1024040848419
10044;BB;ZQ140158292
10045;TT;PM341196577
10046;WW;BT36721825971
10047;QQ;75777618998582
10048;DD;1374941388
10049;II;STS586890639
10050;RR;EDK95933844
10051;TT;KY673534287
10052;BB;UO229294862
10053;BB;ER507523478
10054;TT;OE732275218
10055;VV;QZ26495331637
10056;VV;ZZ81564135592
10057;DD;5410968118
10058;TT;MG185534176
10059;TT;YB929237542
10060;TT;SF659895488
10061;RR;UTU7779616I
10062;VV;FD36244630685
10063;BB;RU579722756
10064;QQ;10514603377542
10065;BB;XQ112645476
10066;II;QCX597541831
10067;QQ;43004640565789
10068;TT;OV017592629
10069;TT;HL489351029
10070;VV;AF92744279875
10071;QQ;79791443343248
10072;HH;XT57394055O
10073;XX;60104457HH4MT7I
10074;RR;DM40386826S
10075;WW;MZ69755557269
10076;RR;COD02185471
10077;VV;QT89195785445
10078;BB;DE095278138
10079;JJ;NEC
10080;TT;GZ732538687
10081;TT;MB419982152
10082;AA;LE29380582
10083;CC;15450916924
10084;NN;48441118127
10085;II;IWK524455671
10086;YY;JK30581040
10087;MM;23726056.8
10088;JJ;E891302638
10089;TT;CE074352334
10090;RR;NB62106156W
10091;XX;332665766961111
10092;QQ;10335663286388
10093;XX;110614280010734
10094;XX;529285203680094
10095;II;CIR332301483
10096;DD;9922560456
10097;MM;28750782
10098;JJ;L514620538
10099;FF;UJ15164465
10100;TT;SO686125177
10101;VV;BE79928172353
10102;BB;NZ293785419
10103;QQ;44930509674820
10104;DD;4981074480
10105;DD;7504310471
10106;CC;30016757088
10107;BB;MP216763232
10108;RR;CGV24000764
10109;TT;LM847120986
10110;TT;GJ821229864
10111;CC;1986952797
10112;RR;LFI84908903
10113;BB;DN678379115
10114;BB;GC247136970
10115;NN;54783738542
10116;RR;CTS57993129
10117;II;VWX227291263
10118;TT;6334197384
10119;TT;LS321018014
10120;JJ;O5Q
10121;TT;YO937282845
10122;TT;YF082898366
10123;BB;IB438491801
10124;CC;99412023398
10125;CC;55253637785
10126;TT;QA026073379
10127;BB;IN927935649
10128;DD;3194236305
10129;RR;MEN13195472
10130;JJ;P189170912
10131;JJ;I426444999
10132;TT;RH447254437
10133;WW;NX89554349576
10134;XX;280326377540856
10135;VV;MB46834732820
10136;XX;314727508306122
10137;BB;VB738770982
10138;XX;933864334864639
10139;TT;74325548790
10140;VV;LX84662580976
10141;VV;VV80082000881
10142;PP;1550738312
10143;DD;9127815557
10144;DD;80749861
10145;AA;AH50389872
10146;DD;7759310133
10147;JJ;J875220638
10148;MM;07040498/7
10149;SS;737993415729358
10150;VV;NC70318055954
10151;BB;BW927307971
10152;NN;63214226427
10153;VV;HX10979185250
10154;BB;SL175190161
10155;RR;RGK60006067
10156;BB;VD244274261
10157;TT;RK706651611
10158;NN;4160820505
10159;AA;ZY81608400
10160;BB;HE966509704
10161;BB;PB859977937
10162;WW;DS75347790404
10163;JJ;V601781751
10164;TT;RE156620397
10165;SS;191022729588886
10166;GG;EQA38185764
10167;VV;MG18342579247
10168;JJ;M450573238
10169;VV;WB01423389670
10170;II;IJR649764151
10171;XX;640871730489325
10172;DD;9824800416
10173;JJ;Q799196072
10174;TT;HD182126666
10175;CC;58600682796
10176;QQ;91996234916805
10177;JJ;S070841894
10178;MM;07602790#9
10179;SS;158880381532292
10180;TT;SG959408120
10181;TT;IB036813976
10182;BB;WJ573929654
10183;RR;BQJ86603445
10184;II;COK593343328
10185;NN;41095243891
10186;VV;VH27961281415
10187;BB;WL340916165
10188;ZZ;NJ1295201284
10189;RR;HSK3572441R
10190;LL;TO868161670
10191;JJ;V807341964
10192;XX;474090168537169
10193;PP;2448140
10194;DD;7938259229
10195;JJ;B571373052
10196;VV;ZX23050381648
10197;NN;65419007507
10198;XX;66587578VU2OKOG
10199;OO;LH735431896
10200;JJ;F346330028
10201;TT;XB067354410
10202;QQ;13654533030065
10203;TT;CK070677817
10204;KK;IK4153342R
10205;BB;ZB373717250
10206;JJ;Z718760628
10207;TT;WZ301796096
10208;VV;11245782840581
10209;RR;UJZ28566071
10210;DD;7469202044
10211;VV;WN93484493359
10212;TT;LD948461495
10213;BB;WQ122072872
10214;TT;LU085512057
10215;JJ;R245417250
10216;XX;38525110WO4Z5QR
10217;TT;44760806145
10218;TT;AH862474686
10219;BB;OZ413632009
10220;DD;8247921114
10221;JJ;Q255664727
10222;VV;WK05815850809
10223;BB;PV580452268
10224;LL;GP194786902
10225;JJ;Z116748412
10226;JJ;PRVXWFXF
10227;DD;1264461995
10228;QQ;62385559447409
10229;PP;11785509
10230;TT;UR761279578
10231;RR;F8517214/H
10232;II;IIX587751839
10233;RR;LP55822830L
10234;BB;FN506544447
10235;BB;HZ706692520
10236;BB;UL835908949
10237;BB;SO202213857
10238;MM;21229436-4
10239;VV;NZ03744004818
10240;VV;LL47548761077
10241;RR;UPT48256405
10242;JJ;D705189809
10243;TT;83190097265
10244;XX;576074838799133
10245;MM;51739933(P
10246;XX;289072975150120
10247;XX;741947287790340
10248;BB;QO583030018
10249;MM;79038057&5
10250;AA;DD31639051
10251;TT;NE925032248
10252;TT;AC324244194
10253;VV;HX23858894669
10254;XX;189029300292538
10255;CC;71994628775
10256;MM;02516530-8
10257;RR;SQL58474775
10258;BB;PN953592784
10259;JJ;R730149023
10260;DD;1557629951
10261;DD;70832016
10262;FF;RW77440373
10263;QQ;3444393279719
10264;NN;96289562191
10265;VV;AS94167243257
10266;XX;261498623723272
10267;VV;73590456562512
10268;FF;DV11726533
10269;BB;QF675548402
10270;XX;87486328RQ76B6Z
10271;EE;44825392614802
10272;TT;WC967579281
10273;VV;DR97989995319
10274;LL;US248866959
10275;JJ;CEP
10276;DD;213801487
10277;UU;SH08929085
10278;II;WIV863625757
10279;OO;CX796725043
10280;BB;CN504497930
10281;BB;FI990914193
10282;DD;97916492
10283;GG;ZWB71180230
10284;BB;RQ862243521
10285;WW;IV00937939572
10286;VV;UP14000918752
10287;TT;VR754203280
10288;VV;BO66712223042
10289;TT;BS764906994
10290;NN;98579782074
10291;QQ;2965105846001
10292;SS;698076075558917
10293;RR;VWK94740055
10294;TT;WT577695123
10295;DD;8827996706
10296;RR;CR93230419Z
10297;TT;LD020393202
10298;BB;BV499881590
10299;WW;MC66579013669
10300;TT;FI814920868
10301;BB;NX549533486
10302;MM;91574503(9
10303;TT;XR549547335
10304;TT;RV559705603
10305;GG;MTS01538375
10306;CC;72850088864
10307;TT;EN586109371
10308;BB;CN500749X
10309;RR;POS29516162
10310;II;FXP866036460
10311;DD;8804714383
10312;TT;JF878657689
10313;BB;OG042163497
10314;YY;XD91744215
10315;QQ;43303833746516
10316;JJ;JYY
10317;VV;HZ15487547414
10318;TT;WL219736361
10319;GG;ISG30535673
10320;SS;988066994031111
10321;BB;KU043738380
10322;VV;AF99322584904
10323;TT;1246132989
10324;SS;304899519667903
10325;XX;418840624439417
10326;TT;YX710142040
10327;TT;MQ919741533
10328;TT;SX089715610
10329;GG;HQU57910009
10330;TT;JF488441902
10331;PP;49611756
10332;CC;70730770832
10333;TT;RZ505673148
10334;JJ;R531434960
10335;VV;XN80772678696
10336;TT;63031014271
10337;VV;IX21450551678
10338;CC;75738677758
10339;BB;AG169575427
10340;VV;NQ59305143079
10341;BB;PL609717024
10342;TT;RE209521730
10343;RR;SHK35022744
10344;LL;AF579800171
10345;TT;GB095303542
10346;TT;HS789014001
10347;TT;M940894997
10348;RR;RTA03875985
10349;JJ;PYUCTHIA
10350;OO;RL293405546
10351;DD;2807072795
10352;VV;XD82977686269
10353;LL;KW468152920
10354;TT;ZK166070807
10355;BB;EA969884997
10356;CC;43540691348
10357;NN;49820789150
10358;CC;62616814184
10359;DD;8246381987
10360;VV;JF70803565295
10361;RR;FFI05089171
10362;MM;63069182*3
10363;WW;AV03701357480
10364;TT;HM253762308
10365;TT;BU599766525
10366;VV;EJ64193815353
10367;TT;MR812493602
10368;PP;72898985(250-40
10369;AA;XR29987131
10370;AA;RV45836072
10371;TT;VR206686374
10372;TT;XO955346333
10373;RR;LPB87807250
10374;GG;JVR31703988
10375;VV;EY69236402166
10376;TT;59357291262
10377;TT;BN847002614
10378;VV;ZO82691908679
10379;BB;NH837407228
10380;VV;QT15084857581
10381;RR;IBL56391842
10382;TT;FZ828213408
10383;LL;FA589834498
10384;CC;75017818724
10385;CC;61090137410
10386;JJ;BEWKELMQ
10387;QQ;86206029827
10388;QQ;79592579253766
10389;BB;DN501508250
10390;BB;IH901468505
10391;OO;GP832889472
10392;BB;FJ440606174
10393;TT;RP403705362
10394;QQ;71306094580930
10395;TT;VD458501002
10396;RR;IQX98687766
10397;TT;7376799843
10398;TT;OC305546621
10399;BB;UF001793262
10400;RR;OOD46560991
10401;TT;HZ088136500
10402;MM;89727781-1
10403;XX;12408218990286
10404;VV;KG21711069256
10405;ZZ;PK4736349622
10406;TT;FS444461652
10407;NN;84071124972
10408;SS;989585791347559
10409;RR;DQL16813129
10410;OO;WJ416679935
10411;BB;ZO548035244
10412;FF;KI46278183
10413;NN;96346879228
10414;XX;11302070DL5DQVA
10415;TT;UG214679247
10416;BB;VH675065740
10417;VV;LL46587004049
10418;TT;GH462783050
10419;DD;2514862632
10420;DD;1633852837
10421;TT;DC340463279
10422;GG;JRC43814198
10423;QQ;83322835366132
10424;DD;709438147
10425;TT;KW971236304
10426;LL;MS307710170
10427;BB;JU230908343
10428;RR;SVN28161675
10429;MM;-27615627--5-
10430;TT;CE213436984
10431;TT;FP218052584
10432;QQ;45896667374072
10433;WW;YK93353657507
10434;OO;DM267677143
10435;FF;UN04672426
10436;RR;DRO80568762
10437;VV;HL73545395366
10438;BB;HR964617153
10439;RR;QXE61783700
10440;SS;727472138624
10441;TT;XL647942324
10442;RR;WKF12988611
10443;DD;8759978717
10444;LL;DI474519808
10445;MM;76993127#3
10446;LL;MZ037152351
10447;JJ;D381424768
10448;TT;DL451388191
10449;TT;XY321806168
10450;QQ;91040764111228
10451;CC;84825820077
10452;XX;492287224120081
10453;GG;XHT89812836
10454;TT;SJ826625550
10455;BB;JC785569523
10456;TT;VY260991828
10457;XX;50025633AO2PQUG
10458;PP;4486517
10459;DD;6102939920
10460;BB;PI332437232
10461;TT;CT489810518
10462;RR;JHV78610416
10463;TT;JD965653875
10464;VV;XZ71600152427
10465;XX;924985551472278
10466;RR;EIW99161008
10467;JJ;GQCNHSOV
10468;TT;OX330221143
10469;TT;IV003372497
10470;RR;TEE52426605
10471;MM;98728393$8
10472;TT;CV340027804
10473;XX;783023816292262
10474;TT;UX929528619
10475;RR;MXX65217158
10476;EE;785644196196830
10477;DD;3812388474
10478;YY;MN53316026
10479;VV;LF60645842621
10480;EE;51788992740007
10481;CC;42463056451
10482;RR;MTS59265289
10483;XX;377765955282000
10484;UU;AM84760493
10485;RR;NVZ84870827
10486;DD;54166875
10487;TT;AS558460377
10488;SS;670543162962121
10489;DD;5422413592
10490;MM;-23860211--6-
10491;XX;455619213679694
10492;GG;GJN74683639
10493;QQ;84639800654070
10494;TT;VT874313827
10495;LL;QG256194910
10496;RR;TMI03404992
10497;BB;CN700098249
10498;FF;UX46841477
10499;CC;22871274218
10500;KK;JD8459655H
10501;VV;LX02655054290
10502;GG;YPH03177181
10503;QQ;324381297677
10504;BB;PZ118233759
10505;WW;BX81287275026
10506;XX;706783622624776
10507;UU;QG02353632
10508;TT;KA016157178
10509;LL;TM730022336
10510;TT;PV086045952
10511;CC;62715906171
10512;BB;WB314588471
10513;BB;US205791653
10514;NN;544136546
10515;YY;NB23724150
10516;TT;VW581358104
10517;JJ;XBHEKJQP
10518;JJ;HIIIXMME
10519;WW;SZ55050009943
10520;QQ;4201125068743
10521;RR;YSM54942300
10522;XX;53177968CK49AV8
10523;KK;YH1264102Z
10524;PP;4658041
10525;BB;IM402564690
10526;TT;TQ539505782
10527;DD;67553141
10528;RR;HPB25557978
10529;FF;VK83245849
10530;LL;CC175532326
10531;BB;UC068090775
10532;QQ;92826565631664
10533;DD;2644810100
10534;RR;VEK38263720
10535;TT;ZX454924853
10536;JJ;UTXCNHIA
10537;DD;4082775100
10538;TT;KJ087094564
10539;TT;QA626423103
10540;TT;OS824784172
10541;XX;530556348033476
10542;MM;02619675&0
10543;XX;434630572173461
10544;VV;NF01924476796
10545;CC;53428587494
10546;XX;198264258141492
10547;CC;12029154216
10548;DD;25694715
10549;QQ;3598088670290
10550;JJ;G978117827
10551;WW;SL98822696328
10552;NN;4992208242
10553;JJ;8647226907
10554;TT;FE918690393
10555;TT;GD304047777
10556;TT;LH106589996
10557;XX;625690443816961
10558;MM;53018031
10559;DD;8255548898
10560;DD;2096127209
10561;TT;UZ427852823
10562;WW;WB52764609904
10563;TT;YL167931227
10564;QQ;276711354083
10565;RR;QNC25029439
10566;TT;VA641914681
10567;BB;TJ676962245
10568;XX;14388857BG5HDH3
10569;BB;CL170839790
10570;TT;GW622403635
10571;OO;KJ400974957
10572;BB;ZW069789879
10573;NN;31196195097
10574;MM;80448446/2
10575;BB;LQ831897370
10576;BB;WK382941629
10577;DD;6327369302
10578;XX;973602417985176
10579;JJ;XPTVTWYK
10580;TT;KC604069334
10581;CC;68588357062
10582;BB;UF956875107
10583;QQ;30828454168288
10584;TT;LT205987728
10585;MM;35990543&3
10586;DD;1224309049
10587;AA;TR09928021
10588;ZZ;AU7294861208
10589;TT;IF225123222
10590;BB;DD350265500
10591;JJ;K903806133
10592;MM;73096899-1
10593;JJ;J195337819
10594;QQ;49832817688706
10595;FF;HQ67522429
10596;TT;AM428294214
10597;RR;WNJ98289104
10598;RR;HS35379042U
10599;TT;SG232269014
10600;VV;KL47116704554
10601;MM;77400037/7
10602;MM;05848946.L
10603;OO;BK711399662
10604;JJ;JXGODJXW
10605;XX;57018808RV6UNZB
10606;JJ;E413964414
10607;GG;RSU92300581
10608;NN;65896223325
10609;JJ;PW
10610;DD;8364787854
10611;TT;MP092786440
10612;BB;PE124998558
10613;TT;QK186769962
10614;XX;68552707RS7CUUU
10615;XX;56857562GH4IQLJ
10616;BB;IW083441732
10617;QQ;332653614758
10618;QQ;89333043953497
10619;VV;FV56646854047
10620;XX;09492170SY397E9
10621;XX;835037389103932
10622;II;BQS386915604
10623;BB;YX575358070
10624;DD;3828989837
10625;QQ;79777803411843
10626;TT;KI615128587
10627;TT;74353205620
10628;JJ;Z529225367
10629;BB;TU637621820
10630;QQ;4060779305839
10631;DD;2983623114
10632;BB;VQ620246452
10633;JJ;B028861443
10634;RR;NOQ23065737
10635;MM;-23351842--5-
10636;TT;MA468418664
10637;MM;00619958/4
10638;QQ;94689962034176
10639;DD;5177634740
10640;TT;269693433
10641;JJ;XCGCISDM
10642;BB;3964734
10643;RR;MEB51973546
10644;JJ;R436023878
10645;YY;WB66409427
10646;VV;ZV66536155036
10647;BB;PX186334419
10648;XX;416688740661800
10649;VV;CO72369558070
10650;TT;BG273337383
10651;BB;UA232447834
10652;SS;136094787908493
10653;JJ;H876643212
10654;DD;2152661813
10655;VV;AW83193821020
10656;YY;7431433505
10657;PP;86111571
10658;RR;QV23198672R
10659;PP;8810449
10660;EE;93358747202198
10661;VV;BV41055909577
10662;DD;82389487
10663;FF;YM85912398
10664;RR;ABN06990697
10665;VV;GV34233802665
10666;LL;PR619568928
10667;MM;29210687+4
10668;JJ;Q417561143
10669;LL;BR168392766
10670;TT;RW372514965
10671;JJ;90341210
10672;TT;AC047173978
10673;JJ;S886551523
10674;XX;479648760275792
10675;MM;-99262689--9-
10676;II;JVD223165164
10677;TT;GS837819125
10678;LL;MA795214894
10679;BB;WH584148159
10680;II;KZB102969254
10681;BB;KD091833658
10682;TT;RI346134742
10683;KK;CW6828070U
10684;YY;CM08549284
10685;AA;FF65729876
10686;TT;NQ023756825
10687;VV;FT03771433394
10688;MM;83276157.4
10689;VV;52066741651102
10690;TT;WG557705396
10691;XX;995757587399017
10692;KK;ED7362203J
10693;DD;4117410121
10694;QQ;807851197413
10695;JJ;CDS
10696;UU;DM01819966
10697;RR;EK35843414C
10698;TT;LB630101002
10699;BB;UA986796664
10700;ZZ;KK2945808350
10701;XX;351978434592327
10702;KK;YN9F99068U
10703;DD;9783847396
10704;TT;HW947034702
10705;GG;NGS50520622
10706;BB;AJ298655576
10707;TT;QV420501269
10708;XX;78348705203581
10709;QQ;5355657743360
10710;CC;19161138835
10711;TT;AO304457841
10712;TT;VH891769784
10713;RR;HEL29656722
10714;TT;AP739213532
10715;LL;XU361846904
10716;DD;18353045
10717;GG;JPM78595013
10718;TT;HT255096146
10719;EE;30421235939030
10720;DD;1907210647
10721;QQ;80418465100083
10722;VV;KQ64559616959
10723;II;LEO807368332
10724;JJ;B9R
10725;NN;PTR475160992
10726;RR;JUG21888087
10727;TT;EH020577603
10728;FF;IV06700457
10729;TT;OZ857938138
10730;VV;SV80809281160
10731;JJ;ADX(X
10732;JJ;Q369635949
10733;RR;09708669V
10734;TT;3943711358
10735;QQ;36691380422023
10736;BB;CN157469944
10737;BB;ML209029486
10738;JJ;HQFSOZTN
10739;RR;JIH15236133
10740;AA;OA38909087
10741;II;FYP548449219
10742;TT;GZ314210142
10743;XX;459837867808003
10744;TT;GS314602339
10745;JJ;Y352525883
10746;BB;SN454045609
10747;QQ;8686199865440
10748;QQ;94719789192293
10749;CC;28123287612
10750;FF;IV6038639912
10751;TT;XJ938198153
10752;SS;682375488624253
10753;QQ;86411566297758
10754;BB;OJ732047994
10755;QQ;47939811770159
10756;FF;GP64921821
10757;TT;VC926696721
10758;NN;53591698327
10759;JJ;F400187107
10760;NN;45323937482
10761;XX;11513579AO0JIAS
10762;FF;DO07035097
10763;JJ;Q1G
10764;TT;27410617264
10765;TT;EJ535687942
10766;VV;MI74593425059
10767;RR;MNJ49078348
10768;WW;UA32487456678
10769;TT;OC491619568
10770;LL;UE223212411
10771;SS;903055657263692
10772;JJ;X276043946
10773;TT;PT729195524
10774;XX;62298933NB3HI5N
10775;PP;16458507
10776;VV;QS20566724343
10777;EE;9162852726412
10778;TT;FW312478533
10779;QQ;89318803751609
10780;CC;44317127421
10781;AA;DT07182138
10782;VV;QV67031327903
10783;TT;UV914864306
10784;GG;XCD62122771
10785;TT;UM303344586
10786;XX;39687827121110
10787;TT;BP919551949
10788;RR;VPX73577957
10789;TT;FJ798913713
10790;XX;872535166133437
10791;MM;20780961/1
10792;XX;664660749634392
10793;TT;1690316826
10794;BB;MX340921947
10795;TT;JE553582394
10796;BB;SP747005740
10797;NN;65608343803
10798;LL;MQ044855776
10799;BB;DE853633042
10800;WW;RQ32797573246
10801;DD;3266357934
10802;TT;YS518177784
10803;VV;PJ72370915324
10804;VV;YM68192886580
10805;RR;WAO50713335
10806;TT;90758802441
10807;BB;ID126106849
10808;FF;TK06295083
10809;JJ;B607159464
10810;GG;MTS26267314
10811;TT;QV238618113
10812;BB;FK933156751
10813;XX;818172556439393
10814;TT;SG493244729
10815;DD;6860147902
10816;VV;SB21679560974
10817;YY;21276854063
10818;BB;GJ302835882
10819;RR;PCG86178561
10820;QQ;9192994808374
10821;TT;ZJ890315834
10822;TT;FW281036418
10823;VV;HS20465397242
10824;QQ;35367758467367
10825;NN;29434618924
10826;JJ;TZJOEAYN
10827;TT;UW158965226
10828;XX;828279509882160
10829;VV;XH58573147182
10830;JJ;A571954211
10831;VV;XI04628929103
10832;GG;YOC10558184
10833;JJ;O026758571
10834;SS;607858704807672
10835;TT;AE550435031
10836;RR;YLE93642359
10837;BB;HD637223990
10838;XX;684487150662034
10839;RR;FXT50744230
10840;VV;IQ60733284009
10841;RR;JOV31330576
10842;VV;GA55110847092
10843;VV;JW64282659192
10844;QQ;6261870602210
10845;XX;754958470197645
10846;RR;OLM17504844
10847;TT;HN309866000
10848;TT;FP349083658
10849;TT;NV384884135
10850;BB;RT311969088
10851;QQ;4988151139497
10852;TT;UT448778031
10853;BB;DP676732939
10854;DD;3423344175
10855;TT;1384543983
10856;MM;17163036(6
10857;HH;AU80049089G
10858;NN;71802417073
10859;DD;15736820709
10860;XX;785546340068932
10861;TT;IK132459553
10862;LL;UG694503025
10863;QQ;33354175577897
10864;VV;ZZ53139295121
10865;BB;UP902578219
10866;XX;366669837673889
10867;BB;GN960255628
10868;DD;5666099442
10869;DD;1868621971
10870;XX;821753871550338
10871;AA;QT90972695
10872;BB;YJ274182834
10873;QQ;91453197167271
10874;VV;GL86291664403
10875;BB;RL051131854
10876;QQ;45831459227423
10877;RR;FOK64489077
10878;JJ;DD
10879;JJ;Y667627083
10880;RR;VYP36744653
10881;TT;NB464243761
10882;CC;21967414350
10883;QQ;48813752626092
10884;JJ;WO
10885;II;FLI290439040
10886;GG;GVW72603373
10887;TT;545850038493
10888;BB;DZ703261555
10889;TT;YU664244280
10890;NN;18143990894
10891;JJ;D777412688
10892;BB;JY429930472
10893;CC;54261861161
10894;LL;NI919701694
10895;JJ;B934932752
10896;XX;06235576YL0XKVF
10897;JJ;Y198794198
10898;QQ;75621032871501
10899;JJ;N254402466
10900;XX;426659765694959
10901;RR;ZXD27657387
10902;LL;EM983976486
10903;TT;OF155293824
10904;TT;VQ055305944
10905;TT;UY780415483
10906;NN;5551409876
10907;CC;97068511905
10908;KK;PW1041947W
10909;RR;OLX63588210
10910;XX;731812976985556
10911;DD;7125255916
10912;WW;IZ75089814134
10913;TT;PC486230974
10914;FF;WV88389370
10915;TT;MG227101462
10916;TT;PB130418049
10917;DD;4240168655
10918;BB;DM258981404
10919;TT;DM298322167
10920;QQ;8527736142307
10921;NN;8796202318
10922;TT;77488256868
10923;BB;PI542213837
10924;DD;5624547909
10925;TT;VF227347033
10926;VV;KL59658668528
10927;VV;BP20284160494
10928;RR;UKE68471510
10929;TT;TT868916814
10930;QQ;80544026652734
10931;XX;04033510HX6BQ31
10932;BB;LN850330125
10933;VV;IW78659698903
10934;NN;94919046006
10935;TT;UK075670884
10936;XX;81400234MG8VI9I
10937;CC;30734021944
10938;JJ;R311936517
10939;TT;CA726029809
10940;LL;SM783910848
10941;TT;27631054886
10942;TT;TL697665838
10943;QQ;5357698949044
10944;BB;FL051451025
10945;QQ;1779558909542
10946;LL;KE845056767
10947;XX;201796985001191
